"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","stimulus","rt","response","question_order","task","correct_response","correct"
"","","","","","html-keyboard-response","10","2.1.0","15","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","11","2.1.0","16","angry_img/angryChild7.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","12","2.1.0","16","6basicemotions.png","943","g","","response","h","false"
"","","","","","html-keyboard-response","13","2.1.0","17","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","14","2.1.0","18","sad_img/sadChild6.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","15","2.1.0","18","6basicemotions.png","528","h","","response","g","false"
"","","","","","html-keyboard-response","16","2.1.0","19","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","17","2.1.0","20","happy_img/happyChild2.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","18","2.1.0","20","6basicemotions.png","465","h","","response","f","false"
"","","","","","html-keyboard-response","19","2.1.0","21","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","20","2.1.0","21","angry_img/angryChild8.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","21","2.1.0","22","6basicemotions.png","500","f","","response","h","false"
"","","","","","html-keyboard-response","22","2.1.0","22","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","23","2.1.0","23","happy_img/happyChild1.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","24","2.1.0","23","6basicemotions.png","485","f","","response","f","true"
"","","","","","html-keyboard-response","25","2.1.0","24","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","26","2.1.0","24","angry_img/angryChild6.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","27","2.1.0","25","6basicemotions.png","758","g","","response","h","false"
"","","","","","html-keyboard-response","28","2.1.0","25","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","29","2.1.0","26","sad_img/sadChild4.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","30","2.1.0","26","6basicemotions.png","678","g","","response","g","true"
"","","","","","html-keyboard-response","31","2.1.0","26","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","32","2.1.0","27","angry_img/angryChild4.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","33","2.1.0","27","6basicemotions.png","543","g","","response","h","false"
"","","","","","html-keyboard-response","34","2.1.0","28","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","35","2.1.0","28","angry_img/angryChild3.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","36","2.1.0","29","6basicemotions.png","488","f","","response","h","false"
"","","","","","html-keyboard-response","37","2.1.0","29","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","38","2.1.0","29","happy_img/happyChild6.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","39","2.1.0","30","6basicemotions.png","765","h","","response","f","false"
"","","","","","html-keyboard-response","40","2.1.0","30","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","41","2.1.0","31","sad_img/sadChild8.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","42","2.1.0","31","6basicemotions.png","808","g","","response","g","true"
"","","","","","html-keyboard-response","43","2.1.0","31","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","44","2.1.0","32","happy_img/happyChild7.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","45","2.1.0","32","6basicemotions.png","1026","f","","response","f","true"
"","","","","","html-keyboard-response","46","2.1.0","32","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","47","2.1.0","33","angry_img/angryChild1.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","48","2.1.0","33","6basicemotions.png","865","f","","response","h","false"
"","","","","","html-keyboard-response","49","2.1.0","34","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","50","2.1.0","34","sad_img/sadChild3.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","51","2.1.0","34","6basicemotions.png","837","f","","response","g","false"
"","","","","","html-keyboard-response","52","2.1.0","35","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","53","2.1.0","35","sad_img/sadChild7.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","54","2.1.0","36","6basicemotions.png","915","h","","response","g","false"
"","","","","","html-keyboard-response","55","2.1.0","36","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","56","2.1.0","36","happy_img/happyChild5.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","57","2.1.0","37","6basicemotions.png","521","f","","response","f","true"
"","","","","","html-keyboard-response","58","2.1.0","37","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","59","2.1.0","37","angry_img/angryChild2.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","60","2.1.0","38","6basicemotions.png","542","h","","response","h","true"
"","","","","","html-keyboard-response","61","2.1.0","38","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","62","2.1.0","38","angry_img/angryChild5.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","63","2.1.0","39","6basicemotions.png","591","f","","response","h","false"
"","","","","","html-keyboard-response","64","2.1.0","39","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","65","2.1.0","40","happy_img/happyChild8.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","66","2.1.0","40","6basicemotions.png","431","g","","response","f","false"
"","","","","","html-keyboard-response","67","2.1.0","40","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","68","2.1.0","41","happy_img/happyChild3.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","69","2.1.0","41","6basicemotions.png","767","g","","response","f","false"
"","","","","","html-keyboard-response","70","2.1.0","41","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","71","2.1.0","42","sad_img/sadChild1.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","72","2.1.0","42","6basicemotions.png","516","f","","response","g","false"
"","","","","","html-keyboard-response","73","2.1.0","42","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","74","2.1.0","43","happy_img/happyChild4.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","75","2.1.0","43","6basicemotions.png","442","f","","response","f","true"
"","","","","","html-keyboard-response","76","2.1.0","43","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","77","2.1.0","44","sad_img/sadChild5.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","78","2.1.0","44","6basicemotions.png","485","f","","response","g","false"
"","","","","","html-button-response","79","2.1.0","45","<p><strong>Congratulations! You have completed the first part of the experiment!</strong></p>
      <p>This last part is a survey on how you work in the classroom and at home.</p>
      <p><strong>Steps:</strong></p>

      <p>1) Read the statement.</p>

      <p>2) If you think that the statement describes you, click <strong>'Agree'</strong></p>
      <p>If you think that the statement DOES NOT describe you, click <strong>'Disagree'</strong>.</p>
      
      <p>3) Click the 'Next' button to move on to the next set of questions</p>
      <p>4) At the end of the survey, click the 'Submit Survey' button when you have completed all the questions</p>

      ","454","0","","","",""
"","","","","","survey-multi-choice","80","2.1.0","45","","2488","{""hyperactivity"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","81","2.1.0","46","","3754","{""hyperactivity_reverse"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","82","2.1.0","46","","3224","{""inattention_reverse"":""Agree""}","[0]","survey","",""
"","","","","","survey-multi-choice","83","2.1.0","47","","3016","{""inattention_reverse"":""Agree""}","[0]","survey","",""
"","","","","","survey-multi-choice","84","2.1.0","47","","3152","{""hyperactivity"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","85","2.1.0","113","","2718","{""hyperactivity_reverse"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","86","2.1.0","114","","2334","{""hyperactivity"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","87","2.1.0","114","","2806","{""inattention"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","88","2.1.0","114","","2227","{""hyperactivity_reverse"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","89","2.1.0","114","","3075","{""inattention"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","90","2.1.0","114","","2330","{""inattention"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","91","2.1.0","114","","2535","{""inattention_reverse"":""Agree""}","[0]","survey","",""
"","","","","","survey-multi-choice","92","2.1.0","115","","2872","{""gender"":""Boy""}","[0]","gender","",""
"","","","","","html-button-response","93","2.1.0","115","
      <p>Thank you for participating in this study!</p>
      <div><img src='thankYou.png'></img></div>
      <p>Click the 'Exit' button below to finish the experiment:</p>","594","0","","","",""
