"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","stimulus","rt","response","question_order","task","correct_response","correct"
"","","","","","image-keyboard-response","54","2.1.0","11","6basicemotions.png","436","g","","response","f","false"
"","","","","","html-keyboard-response","55","2.1.0","11","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","56","2.1.0","11","happy_img/happyChild2.png","null","null","","scene","happy.png",""
"","","","","","image-keyboard-response","57","2.1.0","11","6basicemotions.png","617","f","","response","f","true"
"","","","","","html-keyboard-response","58","2.1.0","11","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","59","2.1.0","11","angry_img/angryChild8.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","60","2.1.0","11","6basicemotions.png","684","f","","response","h","false"
"","","","","","html-keyboard-response","61","2.1.0","11","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","62","2.1.0","11","angry_img/angryChild5.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","63","2.1.0","12","6basicemotions.png","500","g","","response","h","false"
"","","","","","html-keyboard-response","64","2.1.0","12","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","65","2.1.0","12","sad_img/sadChild5.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","66","2.1.0","12","6basicemotions.png","513","h","","response","g","false"
"","","","","","html-keyboard-response","67","2.1.0","12","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","68","2.1.0","12","sad_img/sadChild6.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","69","2.1.0","12","6basicemotions.png","670","g","","response","g","true"
"","","","","","html-keyboard-response","70","2.1.0","12","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","71","2.1.0","12","angry_img/angryChild2.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","72","2.1.0","13","6basicemotions.png","755","h","","response","h","true"
"","","","","","html-keyboard-response","73","2.1.0","13","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","74","2.1.0","13","sad_img/sadChild3.png","null","null","","scene","sad.png",""
"","","","","","image-keyboard-response","75","2.1.0","13","6basicemotions.png","505","g","","response","g","true"
"","","","","","html-keyboard-response","76","2.1.0","13","<div style=""font-size:60px;"">+</div>","null","null","","fixation","",""
"","","","","","image-keyboard-response","77","2.1.0","13","angry_img/angryChild4.png","null","null","","scene","angry.png",""
"","","","","","image-keyboard-response","78","2.1.0","13","6basicemotions.png","885","h","","response","h","true"
"","","","","","html-button-response","79","2.1.0","13","<p><strong>Congratulations! You have completed the first part of the experiment!</strong></p>
      <p>This last part is a survey on how you work in the classroom and at home.</p>
      <p><strong>Steps:</strong></p>

      <p>1) Read the statement.</p>

      <p>2) If you think that the statement describes you, click <strong>'Agree'</strong></p>
      <p>If you think that the statement DOES NOT describe you, click <strong>'Disagree'</strong>.</p>
      
      <p>3) Click the 'Next' button to move on to the next set of questions</p>
      <p>4) At the end of the survey, click the 'Submit Survey' button when you have completed all the questions</p>

      ","643","0","","","",""
"","","","","","survey-multi-choice","80","2.1.0","14","","2817","{""inattention_reverse"":""Agree""}","[0]","survey","",""
"","","","","","survey-multi-choice","81","2.1.0","14","","3045","{""hyperactivity"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","82","2.1.0","14","","2667","{""inattention"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","83","2.1.0","14","","2807","{""hyperactivity_reverse"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","84","2.1.0","14","","3619","{""hyperactivity"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","85","2.1.0","14","","3008","{""inattention"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","86","2.1.0","15","","2448","{""hyperactivity_reverse"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","87","2.1.0","15","","2950","{""hyperactivity"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","88","2.1.0","15","","2878","{""inattention_reverse"":""Agree""}","[0]","survey","",""
"","","","","","survey-multi-choice","89","2.1.0","15","","2840","{""inattention_reverse"":""Agree""}","[0]","survey","",""
"","","","","","survey-multi-choice","90","2.1.0","15","","2790","{""hyperactivity_reverse"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","91","2.1.0","15","","2678","{""inattention"":""Disagree""}","[0]","survey","",""
"","","","","","survey-multi-choice","92","2.1.0","16","","2373","{""gender"":""Boy""}","[0]","gender","",""
"","","","","","html-button-response","93","2.1.0","16","
      <p>Thank you for participating in this study!</p>
      <div><img src='thankYou.png'></img></div>
      <p>Click the 'Exit' button below to finish the experiment:</p>","640","0","","","",""
